"","Spot rate"
"1",0.0218395522865344
"2",0.0226764251513338
"3",0.0235079732692221
"4",0.0243316185902475
"5",0.025144881724723
"6",0.0259454107403085
"7",0.0267310066918258
"8",0.0274996453454654
"9",0.0282494947168459
"10",0.0289789282073597
"11",0.0296865332859298
"12",0.0303711158152244
"13",0.0310317002555385
"14",0.0316675260908558
"15",0.0322780409069587
"16",0.0328628906097707
"17",0.0334219073040682
"18",0.0339550953604184
"19",0.0344626161848923
"20",0.0349447721756248
"21",0.035401990306811
"22",0.0358348057283419
"23",0.0362438457118307
"24",0.0366298142145986
"25",0.0369934772750711
"26",0.0373356493981209
"27",0.0376571810387535
"28",0.0379589472481509
"29",0.0382418375079904
"30",0.0385067467472553
